Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
369,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2010,1894,23 Aug 2018
370,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2100,1970,01 Jul 2021
371,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2150,2000,22 Oct 2021
372,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2200,2160,11 Dec 2019
373,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2330,2220,14 Jan 2020
374,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2350,2260,10 Mar 2020
375,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2375,2113,29 Aug 2018
376,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,2435,2204,11 Jan 2023
377,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1851,2219,2089,16 Nov 2022
378,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1855,2131,2019,31 Oct 2022
379,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,1869,1864,08 Nov 2022
380,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,1880,1870,23 Mar 2022
381,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,1930,1880,17 Apr 2018
382,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,1960,1910,21 Nov 2019
383,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,1960,1920,07 Apr 2018
384,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,2021,1949,11 Apr 2018
385,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,2360,2127,12 Feb 2020
386,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,2360,2150,17 Mar 2020
387,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,2421,2343,10 Apr 2023
388,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1860,2990,2180,24 Jan 2020
389,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1865,1970,1911,18 May 2018
390,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1865,2075,1951,14 Mar 2018
391,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1865,2200,2030,02 Nov 2021
392,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1870,1870,1870,01 Dec 2021
393,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1870,1900,1880,28 Nov 2019
394,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1870,1990,1933,22 Feb 2018
395,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1870,2000,1916,27 Jan 2018
396,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1870,2005,1978,12 Jun 2018
397,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1870,2072,1982,07 Mar 2018
398,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1870,2197,2052,08 Jan 2018
399,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1874,1950,1900,09 Jan 2018
400,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1875,1950,1910,09 Dec 2021
401,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1876,1876,1876,19 Sep 2022
402,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1876,2004,1905,08 Mar 2018
403,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1877,2258,2068,09 Nov 2022
404,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,1880,1880,01 Oct 2018
405,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,1880,1880,29 Jan 2018
406,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,1880,1880,30 Jan 2018
407,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,1880,1880,30 Nov 2019
408,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,1980,1910,27 Nov 2019
409,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,2000,1917,16 Mar 2018
410,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,2020,1905,28 May 2018
411,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1880,2260,2170,03 Apr 2019
412,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1883,1980,1980,16 Dec 2019
413,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1885,2062,2014,20 Mar 2018
414,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1888,2600,2240,21 Mar 2020
415,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1890,1890,1890,29 Nov 2019
416,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1890,1900,1895,10 Feb 2020
417,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1890,2150,2020,09 Jul 2021
418,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1894,1950,1934,02 Apr 2018
419,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1895,1895,1895,04 Apr 2018
420,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1900,1900,1900,05 Dec 2016
421,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1900,1900,1900,11 Nov 2021
422,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1900,1900,1900,25 Oct 2019
423,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1900,1900,1900,27 Jul 2020
424,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1900,1900,1900,31 Dec 2019
425,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1900,1910,1900,26 Nov 2019
